embedding_x,embedding_y
-2.9493732,-9.3595495
0.18665026,-12.420838
-0.21620823,-11.274582
-5.6109414,11.015698
17.254812,-2.8262122
1.2377976,-11.970332
-2.5296006,-10.723655
-8.157016,1.2714497
-2.663582,-10.629619
6.3225384,13.084307
12.716624,-3.5886393
-5.0777497,11.099806
-3.0286505,-10.790868
18.274704,7.1024294
-0.20585318,-11.378053
-2.811498,-10.998141
18.945967,7.462795
-5.1546144,11.478501
25.32012,-1.8411565
-2.7148674,-10.790793
-3.8512995,-9.1642475
-7.9435844,12.792908
0.38923183,-11.084396
-1.2684686,1.4446242
-2.506792,-10.755987
25.320292,-1.8414099
2.7800028,0.42423847
17.207438,10.645837
0.5231242,3.7001565
6.5484967,3.8013175
-2.4428113,-9.494569
0.020107493,3.00771
16.736513,10.052653
7.9764533,9.332912
-6.4309745,10.678139
-1.2363683,1.5386038
-2.8318183,-11.004184
-1.1624273,2.0422838
-3.341813,8.530116
3.9777112,0.87731236
-1.0939492,0.9237825
0.43574762,-12.95552
-7.354293,-8.54678
19.939646,7.2636323
16.992855,8.356602
17.032902,8.322304
8.051409,2.3879526
-2.845072,-11.007923
0.49001905,3.1702538
0.4256414,5.321272
17.043385,10.6403265
1.6620001,18.753756
12.796781,15.988681
-2.453188,16.834171
-1.3683608,1.2771066
21.887741,-7.6721783
9.91976,16.848719
5.555741,2.2192852
-2.4711196,16.816631
18.322794,7.116447
19.027594,-5.691329
6.247284,13.075833
-6.677166,6.575591
14.520887,-1.719063
-11.32402,0.33329737
19.813715,1.6813382
-2.891872,-11.03869
0.5315728,3.4255803
-2.831019,-11.003148
-2.5193968,-8.772542
-1.032579,-11.037889
-3.9597483,-8.874216
25.367502,-1.8702906
19.12806,-1.0712271
25.319279,-1.8409421
-6.9282556,6.318951
0.15688819,-12.295837
-2.681088,-10.767863
-5.801878,-7.887744
17.539877,7.6490245
25.361164,-1.8638625
-0.118553124,-11.77938
20.364164,7.423617
8.450747,3.113844
19.625217,7.172342
2.7381027,-11.332521
-9.85516,3.6321595
16.92959,10.580758
-2.4564257,16.831085
0.3653421,-10.966981
3.2088296,0.27875316
-6.2211156,10.955878
-1.4986296,0.3130968
24.05709,-5.7731304
1.240343,-11.429821
8.004147,9.305398
-2.839606,-11.00227
-2.3153567,-9.643344
17.149578,10.7323885
-0.5123185,5.506713
2.7046273,-11.289717
18.48222,-0.7108591
19.78249,1.7057459
0.9430267,-12.141508
-2.4055607,16.881351
-7.915988,1.6407512
0.48365936,-12.676809
2.0563428,-10.507026
24.065388,-5.6770287
25.358501,-1.8686787
-3.003811,-9.342595
24.162361,-5.4354644
9.909734,16.846567
25.32218,-1.8425038
-10.007924,3.432403
-0.27604124,-11.258377
-1.1008077,0.87862206
15.876831,-10.755714
-2.698842,-10.77633
-3.8501184,-9.178256
-1.0300612,-11.03634
1.7789009,-11.974012
-10.283697,2.0338395
2.7018805,-11.3088875
5.5139947,1.844378
-3.9335222,-8.854954
1.1096691,-11.356458
25.321686,-1.8422664
4.8653026,2.0305557
5.5666237,2.2386014
14.534182,-1.7210008
1.9654908,-10.338662
19.75331,1.6567882
0.34670147,12.067849
1.246615,13.089356
20.331055,7.451446
1.8388836,-10.260147
24.061193,-5.7835255
21.887102,-7.6715055
-1.1162096,2.4156291
19.951485,7.2771125
20.26029,7.4800553
2.0315115,-10.447368
